tconst,averageRating,numVotes
tt0432348,6.6,219504
tt1837492,7.9,219402
tt0976051,7.6,219224
tt1464540,6.1,219065
tt1655442,7.9,218412
tt4034228,7.8,218288
tt0144117,7.8,218215
tt1192628,7.2,218184
tt0185937,6.5,218162
tt0414993,7.2,217628
tt2277860,7.3,217261
tt1673434,5.5,216953
tt0104257,7.7,216928
tt0175142,6.2,216724
tt0097757,7.6,216705
tt0413573,7.6,216698
tt0093870,7.5,216525
tt0102057,6.8,216253
tt2442560,8.8,216216
tt0825232,7.4,216067
tt0765443,7.6,215872
tt0364725,6.7,215854
tt1823672,6.8,215654
tt0985699,7.1,215522
tt1212450,7.3,215472
tt0478087,6.8,215397
tt0134847,7.1,215320
tt0120660,7.3,215308
tt0358273,7.8,214595
tt0315733,7.7,214035
tt1211956,6.7,213931
tt1325004,5,213571
tt0077631,7.2,213516
tt0195714,6.7,213425
tt1855199,7.6,213334
tt1375670,5.9,213280
tt0118583,6.2,213247
tt0082096,8.3,213102
tt1731141,6.6,213071
tt3606756,7.7,212698
tt0430922,6.8,212424
tt0399146,7.4,212399
tt2660888,7.1,212149
tt0309698,7.3,211321
tt0183505,6.6,211274
tt0259324,5.2,211161
tt0381681,8,211142
tt1001526,7.2,210602
tt1210819,6.4,210299
tt0163978,6.7,210252
tt1324999,4.9,210146
tt0448011,6.2,210076
tt1179904,6.3,209403
tt0118655,7,209119
tt0112442,6.9,209107
tt0083987,8,208905
tt0243155,6.7,208878
tt0486822,6.8,208840
tt0245712,8.1,208666
tt1243957,6,208571
tt0107818,7.7,208559
tt0420223,7.6,208393
tt1119644,8.4,208311
tt0172156,6.6,208251
tt1124035,7.1,208171
tt0077651,7.8,208142
tt1442449,8.5,207788
tt3263904,7.4,207177
tt1234721,6.2,207122
tt0465234,6.5,206786
tt0427944,7.6,206741
tt0837562,7.1,206686
tt1080016,6.9,206666
tt2209764,6.3,206016
tt3450958,7.4,205716
tt0145660,6.6,205666
tt2243973,8.5,205489
tt0296572,6.7,205327
tt0083944,7.7,205262
tt0095765,8.5,205076
tt0302886,7.1,205017
tt1564367,6.4,204183
tt0983193,7.3,204036
tt0384537,6.5,203942
tt0373469,7.5,203902
tt0462499,7,203536
tt0109445,7.7,202792
tt1598778,6.6,202758
tt0299658,7.1,202726
tt0133152,5.7,202631
tt0138097,7.1,202540
tt0335345,7.1,202452
tt0080678,8.1,202446
tt1798684,7.4,202223
tt0110632,7.3,201952
tt0333766,7.4,201904
tt1424381,6.4,201457
tt0095327,8.5,201238
tt0758774,7.1,201026
tt1922777,6.8,200879
tt1832382,8.3,200243
tt0408306,7.5,200017
tt3065204,7.3,199658
tt0120655,7.3,199647
tt0485947,7.8,199576
tt1411238,6.2,199534
tt0108550,7.8,199231
tt1132620,7.8,199186
tt0287978,5.3,198735
tt0149460,8.4,198429
tt0116996,6.3,198326
tt3749900,7.8,197892
tt1220719,8,197598
tt1189340,7.3,197490
tt0117509,6.7,197215
tt0409847,6,197205
tt0119643,7.2,197157
tt1321870,6.7,196747
tt2293640,6.4,196658
tt0795421,6.4,196538
tt0417299,9.2,196528
tt1139797,7.9,196232
tt2126355,6,195397
tt0123755,7.2,194445
tt2381941,6.6,194417
tt0027977,8.5,194221
tt1599348,6.7,194122
tt2334879,6.4,193539
tt1605630,6.7,193494
tt1436562,6.9,193387
tt0246460,6.1,193288
tt0251127,6.4,193142
tt0305224,6.2,193128
tt1623205,6.3,192956
tt0319343,6.9,192934
tt0416320,7.6,192893
tt0080339,7.7,192769
tt4196776,6.6,192661
tt0431308,7,192470
tt0479143,7.1,192302
tt1046173,5.8,191953
tt0376541,7.2,191892
tt0265208,6.7,191816
tt1142988,6.4,191772
tt0308644,7.7,191695
tt0425061,6.5,191634
tt0311113,7.4,190705
tt0108399,7.9,190669
tt1077258,7.1,190447
tt0112281,6.4,189752
tt1606378,5.3,189682
tt0281358,7.4,189622
tt1980209,6.4,189281
tt0452608,6.4,188996
tt0187738,6.7,188586
tt0844471,6.9,188316
tt0949731,5,187424
tt0087800,7.5,187410
tt0266915,6.6,187297
tt0181865,7.6,187214
tt0146316,5.8,187118
tt0106519,7.9,187078
tt0479952,6.6,187012
tt0142342,6.4,186995
tt0435625,7.2,186551
tt1155056,7,186547
tt3235888,6.8,186305
tt2364582,7.5,186144
tt2184339,5.7,186139
tt0374900,6.9,186027
tt0339291,6.8,186008
tt0210945,7.8,185775
tt0295178,6.2,185724
tt0119282,7.3,185631
tt0436992,8.6,185574
tt0481369,6.4,185521
tt0120855,7.3,185425
tt0106179,8.6,185308
tt1428538,6.1,185006
tt0170016,6.1,184897
tt4630562,6.7,184677
tt0328828,6.3,184302
tt0804503,8.6,184060
tt0356150,6.6,183879
tt0032553,8.5,183803
tt0158983,7.7,183606
tt1272878,6.7,183525
tt4925292,7.4,183436
tt0985694,6.6,183354
tt2661044,7.7,183008
tt1815862,4.8,182966
tt2719848,7.1,182902
tt1284575,5.6,182580
tt0116483,7,182381
tt0207201,6.4,181824
tt0094737,7.3,181434
tt0388482,6.3,181380
tt0401855,6.7,181307
tt1266020,8.6,181192
tt0499448,6.5,181181
tt0099653,7,181119
tt2334873,7.3,180816
tt1649419,7.6,180424
tt0959337,7.3,180252
tt0993842,6.8,180229
tt0327597,7.7,180144
tt0130827,7.7,180106
tt0087363,7.2,179813
tt1219827,6.4,179781
tt0098635,7.6,179201
tt1636826,6.6,179177
tt0128853,6.6,179099
tt0960144,5.5,179073
tt0432283,7.8,178954
tt0481499,7.2,178673
tt0371724,6.7,178652
tt0118929,7.6,178500
tt0079501,6.9,178468
tt1127180,6.5,178309
tt0092890,7,177869
tt1899353,7.6,177752
tt1667889,6.6,177751
tt0143145,6.4,177472
tt1148204,6.9,177287
tt1439629,8.5,177012
tt0088846,7.9,176700
